contract_id	contract_no	lvl	n_lvl	cs	ce	ma	scope	ratio	is_head	is_anchor
204	S10-0204	1	3	2023-03-01	2026-02-28	75000.00	rmi	0.909091	0	0
204	S10-0204	2	3	2026-03-01	2029-02-28	82500.00	rmi	1.000000	0	1
204	S10-0204	3	3	2029-03-01	2032-02-28	94875.00	rmi	1.150000	1	0
206	S10-0206	1	2	2023-08-23	2026-08-22	11000.00	rmi	1.000000	0	1
206	S10-0206	2	2	2026-08-23	2029-08-22	12100.00	rmi	1.100000	1	0
208	S10-0208	1	2	2023-07-10	2026-07-09	5381.00	rmi	1.000000	0	1
208	S10-0208	2	2	2026-07-10	2029-07-09	5919.00	rmi	1.099981	1	0
210	S10-0210	1	2	2023-07-04	2026-07-03	8173.00	rmi	1.000000	0	1
210	S10-0210	2	2	2026-07-04	2028-07-03	8990.30	rmi	1.100000	1	0
211	S10-0211	1	2	2023-10-30	2026-10-29	61200.00	rmi	1.000000	0	1
211	S10-0211	2	2	2026-10-30	2029-10-29	67320.00	rmi	1.100000	1	0
212	S10-0212	1	4	2022-12-09	2025-12-08	57500.00	rmi	1.000000	0	1
212	S10-0212	2	4	2025-12-09	2028-12-08	63250.00	rmi	1.100000	0	0
212	S10-0212	3	4	2028-12-09	2031-12-08	72737.55	rmi	1.265001	0	0
212	S10-0212	4	4	2031-12-09	2034-12-08	80011.26	rmi	1.391500	1	0
221	S10-0221	1	3	2022-12-26	2025-12-25	23985.50	rmi	1.000000	0	1
221	S10-0221	2	3	2025-12-26	2028-12-25	26384.05	rmi	1.100000	0	0
221	S10-0221	3	3	2028-12-26	2031-12-25	30341.66	rmi	1.265000	1	0
297	C2024M-002	1	3	2020-03-16	2023-03-15	31437.75	rmi	0.909091	0	0
297	C2024M-002	2	3	2023-03-16	2026-03-15	34581.53	rmi	1.000000	0	1
297	C2024M-002	3	3	2026-03-16	2029-03-15	38039.69	rmi	1.100000	1	0
--- MANUAL ---
--- MANUAL ---
contract_id	contract_no	reason	detail
95	S10-0095	bad-partition	start_gap=0 end_gap=0 seam_bad=1
95	S10-0095	child-no-billing	子期 C2024M-008 无计费行,档价仅存阶梯表
302	C2024M-007	child-no-billing	子期 C2024M-020 无计费行,档价仅存阶梯表
6	S10-0006	missing-ma	1 档缺月额
18	S10-0018	no-anchor	best=0.1696 rel2=0.2865 scope=rmi
64	S10-0064	no-anchor	best=0.0288 rel2=0.0648 scope=rmi
79	S10-0079	no-anchor	best=0.4385 rel2=0.6543 scope=rent
107	S10-0107	no-anchor	best=0.0748 rel2=0.1823 scope=rmi
209	S10-0209	no-anchor	best=0.0375 rel2=0.0587 scope=rmi
192	S10-0192	no-dated-tier	NULL
198	S10-0198	no-dated-tier	NULL
