ym	rule_id	qty_total	qty_sharp	qty_peak	qty_flat	qty_valley	extra_qty_snap	cost_amount	base_snap	std_value	fold_add	price_snap	allocated_amount	gap_amount
2024-02	28	27.92	0.00	0.00	0.00	0.00	0.00	31.11	1734.73	0.02000000	NULL	1.11416875	26.47	-4.64
2024-02	29	83.42	0.00	0.00	0.00	0.00	0.00	92.94	2293.34	0.04000000	NULL	1.11416875	94.70	1.76
2024-02	30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NULL	0.00000000	NULL	1.11416875	0.00	0.00
2024-02	31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NULL	0.00000000	NULL	1.11416875	0.00	0.00
2024-02	32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	579.13	0.00000000	NULL	1.11416875	0.00	0.00
2024-02	33	40.76	0.00	0.00	0.00	0.00	0.00	45.41	734.02	0.06000000	NULL	1.11416875	44.05	-1.36
2024-02	34	7.65	0.00	0.00	0.00	0.00	0.00	8.52	734.02	0.01000000	NULL	1.11416875	7.33	-1.19
2024-02	35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NULL	0.00000000	NULL	1.11416875	0.00	0.00
2024-02	36	106.71	0.00	0.00	0.00	0.00	0.00	118.89	NULL	118.89000000	NULL	1.11416875	118.89	0.00
2024-02	37	45.40	0.00	0.00	0.00	0.00	0.00	50.58	1417.26	0.04000000	NULL	1.11416875	185.15	134.57
2024-02	38	9.57	0.00	0.00	0.00	0.00	0.00	10.66	1417.26	0.01000000	NULL	1.11416875	46.30	35.64
2024-02	39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NULL	0.00000000	NULL	1.11416875	0.00	0.00
2024-02	40	907.57	0.00	0.00	0.00	0.00	0.00	1011.18	12487.04	0.08000000	NULL	1.11416875	0.00	-1011.18
2024-02	41	NULL	NULL	NULL	NULL	NULL	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2024-02	42	153.17	17.55	32.85	68.06	34.71	0.00	170.66	NULL	170.66000000	NULL	1.11416875	170.66	0.00
2024-02	43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NULL	0.00000000	NULL	1.11416875	0.00	0.00
